Designator,Mid X,Mid Y,Rotation,Layer
D1,25.2975,-33.8925,90.0,top
D10,195.1975,-33.7925,90.0,top
D11,214.2475,-33.7925,90.0,top
D12,233.2975,-33.7925,90.0,top
D13,252.3475,-33.7925,90.0,top
D14,26.2475,-52.83875,90.0,top
D15,52.3225,-52.8425,90.0,top
D16,71.372501,-52.8425,90.0,top
D17,90.422501,-52.8425,90.0,top
D18,109.472501,-52.8425,90.0,top
D19,128.522501,-52.8425,90.0,top
D2,42.7975,-33.7925,90.0,top
D20,147.572501,-52.8425,90.0,top
D21,166.622501,-52.8425,90.0,top
D22,185.672501,-52.8425,90.0,top
D23,204.722501,-52.8425,90.0,top
D24,223.772501,-52.8425,90.0,top
D25,242.822501,-52.8425,90.0,top
D26,261.872501,-52.8425,90.0,top
D27,32.2475,-71.83875,90.0,top
D28,57.085,-71.8925,90.0,top
D29,76.135,-71.8925,90.0,top
D3,61.8475,-33.7925,90.0,top
D30,95.185,-71.8925,90.0,top
D31,114.235,-71.8925,90.0,top
D32,133.285,-71.8925,90.0,top
D33,152.335,-71.8925,90.0,top
D34,171.385,-71.8925,90.0,top
D35,190.435,-71.8925,90.0,top
D36,209.485,-71.8925,90.0,top
D37,228.535,-71.8925,90.0,top
D38,247.585,-71.8925,90.0,top
D39,279.2475,-71.8925,90.0,top
D4,80.8975,-33.7925,90.0,top
D40,36.7475,-90.83875,90.0,top
D41,66.61,-90.9425,90.0,top
D42,85.66,-90.9425,90.0,top
D43,104.71,-90.9425,90.0,top
D44,123.76,-90.9425,90.0,top
D45,142.81,-90.9425,90.0,top
D46,161.86,-90.9425,90.0,top
D47,180.91,-90.9425,90.0,top
D48,199.96,-90.9425,90.0,top
D49,219.01,-90.9425,90.0,top
D5,99.9475,-33.7925,90.0,top
D50,238.06,-90.9425,90.0,top
D51,257.11,-90.9425,90.0,top
D52,276.16,-90.9425,90.0,top
D53,27.7475,-109.9925,90.0,top
D54,49.94125,-109.9925,90.0,top
D55,73.7975,-109.9925,90.0,top
D56,145.7975,-109.7925,90.0,top
D57,214.2475,-109.9925,90.0,top
D58,238.06,-109.9925,90.0,top
D59,261.8725,-109.9925,90.0,top
D6,118.9975,-33.7925,90.0,top
D60,285.685,-109.9925,90.0,top
D61,304.735,-109.829077,90.0,top
D62,323.785,-109.9925,90.0,top
D63,304.735,-90.9425,90.0,top
D64,285.7475,-50.83875,90.0,top
D65,280.9225,-33.7925,90.0,top
D7,138.0475,-33.7925,90.0,top
D8,157.0975,-33.7925,90.0,top
D9,176.1475,-33.7925,90.0,top
S1,33.3225,-28.2275,0.0,top
S10,204.7725,-28.2275,0.0,top
S11,223.8225,-28.2275,0.0,top
S12,242.8725,-28.2275,0.0,top
S13,261.9225,-28.2275,0.0,top
S14,38.085,-47.2775,0.0,top
S15,61.897501,-47.2775,0.0,top
S16,80.947501,-47.2775,0.0,top
S17,99.997501,-47.2775,0.0,top
S18,119.047501,-47.2775,0.0,top
S19,138.097501,-47.2775,0.0,top
S2,52.3725,-28.2275,0.0,top
S20,157.147501,-47.2775,0.0,top
S21,176.197501,-47.2775,0.0,top
S22,195.247501,-47.2775,0.0,top
S23,214.297501,-47.2775,0.0,top
S24,233.347501,-47.2775,0.0,top
S25,252.397501,-47.2775,0.0,top
S26,271.447501,-47.2775,0.0,top
S27,40.46625,-66.3275,0.0,top
S28,66.66,-66.3275,0.0,top
S29,85.71,-66.3275,0.0,top
S3,71.4225,-28.2275,0.0,top
S30,104.76,-66.3275,0.0,top
S31,123.81,-66.3275,0.0,top
S32,142.86,-66.3275,0.0,top
S33,161.91,-66.3275,0.0,top
S34,180.96,-66.3275,0.0,top
S35,200.01,-66.3275,0.0,top
S36,219.06,-66.3275,0.0,top
S37,238.11,-66.3275,0.0,top
S38,257.16,-66.3275,0.0,top
S39,288.11625,-69.275,0.0,top
S4,90.4725,-28.2275,0.0,top
S40,45.22875,-88.325,0.0,top
S41,76.185,-85.3775,0.0,top
S42,95.235,-85.3775,0.0,top
S43,114.285,-85.3775,0.0,top
S44,133.335,-85.3775,0.0,top
S45,152.385,-85.3775,0.0,top
S46,171.435,-85.3775,0.0,top
S47,190.485,-85.3775,0.0,top
S48,209.535,-85.3775,0.0,top
S49,228.585,-85.3775,0.0,top
S5,109.5225,-28.2275,0.0,top
S50,247.635,-85.3775,0.0,top
S51,266.685,-85.3775,0.0,top
S52,285.735,-85.3775,0.0,top
S53,35.70375,-104.4275,0.0,top
S54,59.51625,-104.4275,0.0,top
S55,83.32875,-104.4275,0.0,top
S56,154.76625,-107.375,0.0,top
S57,226.20375,-104.4275,0.0,top
S58,250.01625,-104.4275,0.0,top
S59,273.82875,-104.4275,0.0,top
S6,128.5725,-28.2275,0.0,top
S60,295.26,-104.4275,0.0,top
S61,314.31,-104.4275,0.0,top
S62,333.36,-104.4275,0.0,top
S63,314.31,-85.3775,0.0,top
S64,295.26,-47.2775,0.0,top
S65,290.4975,-31.175,0.0,top
S7,147.6225,-28.2275,0.0,top
S8,166.6725,-28.2275,0.0,top
S9,185.7225,-28.2275,0.0,top
U1,323.835,-37.74125,0.0,top
